service,t,x,v,a,P
E505,2353,3.66018765204,51.0534609747,-0.522287938496,7.40683524598
E500,2354,1.36047174734,48.0365380107,-0.490512964571,6.54515129648
E501,2354,3.68224168452,29.5141806201,-0.33784112203,2.76975108236
E502,2354,5.56953397628,28.2002415716,1.02036432908,1512240.53645
E503,2354,7.64318823734,45.5727457263,-1.1,0.0
E504,2354,9.94037431125,29.5562853833,-0.338105465803,2.77587267692
E505,2354,3.67421648151,50.847473791,0.47050657898,2000333.17405
E507,2354,0.200555415419,3.97509959103,1.10308782976,213164.988208
E500,2355,1.37357174232,46.3025248992,-0.473125706685,6.08525411507
E501,2355,3.69027157324,28.3114656524,-0.330449316598,2.59875124353
E502,2355,5.57769623315,29.344222016,-0.336777912021,2.74513495012
E503,2355,7.65529458337,41.6127457263,-1.1,0.0
E504,2355,9.9484157657,28.3526486217,-0.330697340182,2.60448485731
E505,2355,3.6885688221,52.4526051953,0.422554696702,2000290.05566
E507,2355,0.202213205119,7.93816552656,1.09808801263,425684.681839
E500,2356,1.38634738885,46.6556203689,0.603002553786,2000465.3918
E501,2356,3.69798472231,27.8145370776,1.02265861503,1491557.07991
E502,2356,5.58567943412,28.1452145902,-0.329451738345,2.57569163135
E503,2356,7.66630092941,37.6527457263,-1.1,0.0
E504,2356,9.95613432865,27.6852009644,1.02342086506,1484621.41322
E505,2356,3.70334398357,53.8961295294,0.380506952616,2000254.19249
E507,2356,0.204968776295,11.8772793223,1.08981080743,636919.962085
E500,2357,1.3995986419,48.7034994462,0.536822824965,2000396.88024
E501,2357,3.70610659512,29.4720657521,-0.337577091801,2.76363729055
E502,2357,5.5933870026,28.3293914735,1.01958903954,1519166.21786
E503,2357,7.67620727544,33.6927457263,-1.1,0.0
E504,2357,9.96423925144,29.5141845006,-0.337841146375,2.76975164611
E505,2357,3.71848115779,54.5418403046,-0.561440951618,8.50611742323
E507,2357,0.208786189681,14.8099110178,-0.268569396966,1.10485801977
E500,2358,1.41333192401,49.3477088561,-0.504084771505,6.90984126196
E501,2358,3.71412491513,28.2702714868,-0.330201586258,2.59302458025
